filename,true,pred
blues.00001.0.wav,blues,reggae
blues.00001.1.wav,blues,reggae
blues.00001.3.wav,blues,reggae
blues.00001.4.wav,blues,reggae
blues.00001.7.wav,blues,reggae
blues.00002.1.wav,blues,rock
blues.00002.2.wav,blues,rock
blues.00002.3.wav,blues,country
blues.00002.4.wav,blues,rock
blues.00002.6.wav,blues,rock
blues.00014.0.wav,blues,jazz
blues.00020.0.wav,blues,jazz
blues.00020.1.wav,blues,jazz
blues.00020.4.wav,blues,jazz
blues.00023.3.wav,blues,jazz
blues.00023.7.wav,blues,jazz
blues.00037.5.wav,blues,jazz
blues.00037.6.wav,blues,jazz
blues.00051.6.wav,blues,metal
blues.00051.7.wav,blues,metal
blues.00052.0.wav,blues,reggae
blues.00052.1.wav,blues,reggae
blues.00052.2.wav,blues,reggae
blues.00052.3.wav,blues,reggae
blues.00052.5.wav,blues,reggae
blues.00052.9.wav,blues,reggae
blues.00074.1.wav,blues,country
blues.00074.2.wav,blues,country
blues.00074.3.wav,blues,country
blues.00074.4.wav,blues,country
blues.00074.5.wav,blues,country
blues.00074.9.wav,blues,country
blues.00082.2.wav,blues,country
blues.00082.7.wav,blues,country
blues.00082.9.wav,blues,country
blues.00084.1.wav,blues,rock
blues.00086.0.wav,blues,reggae
blues.00086.4.wav,blues,reggae
blues.00087.1.wav,blues,country
blues.00087.4.wav,blues,country
blues.00091.0.wav,blues,country
blues.00091.4.wav,blues,country
blues.00091.5.wav,blues,country
blues.00091.6.wav,blues,country
blues.00091.9.wav,blues,rock
blues.00092.2.wav,blues,reggae
blues.00092.6.wav,blues,reggae
classical.00007.5.wav,classical,jazz
classical.00034.4.wav,classical,jazz
classical.00036.1.wav,classical,jazz
classical.00036.2.wav,classical,jazz
classical.00036.3.wav,classical,jazz
classical.00040.5.wav,classical,jazz
classical.00043.3.wav,classical,jazz
classical.00043.4.wav,classical,jazz
classical.00061.1.wav,classical,country
classical.00061.3.wav,classical,country
classical.00061.6.wav,classical,country
classical.00097.2.wav,classical,jazz
country.00000.0.wav,country,jazz
country.00016.0.wav,country,jazz
country.00016.3.wav,country,jazz
country.00023.0.wav,country,jazz
country.00023.1.wav,country,jazz
country.00023.6.wav,country,reggae
country.00023.7.wav,country,pop
country.00023.8.wav,country,pop
country.00023.9.wav,country,pop
country.00031.7.wav,country,jazz
country.00031.8.wav,country,jazz
country.00043.0.wav,country,rock
country.00043.1.wav,country,pop
country.00043.2.wav,country,rock
country.00043.3.wav,country,rock
country.00043.4.wav,country,rock
country.00043.5.wav,country,rock
country.00043.6.wav,country,rock
country.00043.7.wav,country,rock
country.00043.8.wav,country,rock
country.00043.9.wav,country,rock
country.00052.0.wav,country,blues
country.00052.1.wav,country,blues
country.00052.7.wav,country,blues
country.00052.8.wav,country,blues
country.00055.3.wav,country,rock
country.00067.1.wav,country,blues
country.00067.2.wav,country,blues
country.00067.3.wav,country,blues
country.00067.4.wav,country,blues
country.00067.6.wav,country,blues
country.00067.7.wav,country,blues
country.00067.9.wav,country,blues
country.00068.1.wav,country,rock
country.00068.2.wav,country,rock
country.00068.6.wav,country,rock
country.00068.8.wav,country,rock
country.00068.9.wav,country,rock
country.00069.0.wav,country,classical
country.00069.1.wav,country,blues
country.00069.2.wav,country,blues
country.00069.5.wav,country,blues
country.00069.6.wav,country,blues
country.00069.9.wav,country,blues
country.00074.4.wav,country,reggae
country.00074.9.wav,country,blues
country.00089.4.wav,country,reggae
country.00089.6.wav,country,jazz
country.00089.8.wav,country,reggae
country.00090.4.wav,country,blues
country.00091.5.wav,country,jazz
country.00095.0.wav,country,rock
country.00095.3.wav,country,rock
country.00095.5.wav,country,blues
country.00095.7.wav,country,blues
country.00096.0.wav,country,metal
country.00096.5.wav,country,rock
disco.00018.2.wav,disco,reggae
disco.00018.3.wav,disco,pop
disco.00018.4.wav,disco,pop
disco.00018.6.wav,disco,pop
disco.00018.8.wav,disco,pop
disco.00020.0.wav,disco,country
disco.00020.1.wav,disco,rock
disco.00020.2.wav,disco,rock
disco.00020.3.wav,disco,rock
disco.00020.4.wav,disco,rock
disco.00020.6.wav,disco,country
disco.00020.7.wav,disco,country
disco.00020.8.wav,disco,rock
disco.00020.9.wav,disco,rock
disco.00021.0.wav,disco,pop
disco.00021.1.wav,disco,pop
disco.00021.4.wav,disco,country
disco.00021.5.wav,disco,jazz
disco.00026.0.wav,disco,pop
disco.00026.1.wav,disco,pop
disco.00026.2.wav,disco,pop
disco.00026.3.wav,disco,pop
disco.00026.4.wav,disco,pop
disco.00026.5.wav,disco,pop
disco.00026.6.wav,disco,pop
disco.00026.8.wav,disco,pop
disco.00027.0.wav,disco,reggae
disco.00027.1.wav,disco,reggae
disco.00027.2.wav,disco,reggae
disco.00027.3.wav,disco,hiphop
disco.00027.4.wav,disco,hiphop
disco.00027.5.wav,disco,hiphop
disco.00027.6.wav,disco,hiphop
disco.00027.7.wav,disco,hiphop
disco.00027.8.wav,disco,reggae
disco.00027.9.wav,disco,reggae
disco.00029.1.wav,disco,pop
disco.00029.2.wav,disco,pop
disco.00029.3.wav,disco,pop
disco.00029.4.wav,disco,pop
disco.00029.5.wav,disco,pop
disco.00029.6.wav,disco,pop
disco.00029.7.wav,disco,pop
disco.00029.8.wav,disco,pop
disco.00029.9.wav,disco,pop
disco.00047.0.wav,disco,jazz
disco.00047.1.wav,disco,classical
disco.00047.2.wav,disco,jazz
disco.00047.3.wav,disco,country
disco.00047.4.wav,disco,classical
disco.00047.5.wav,disco,jazz
disco.00047.6.wav,disco,classical
disco.00047.7.wav,disco,classical
disco.00047.8.wav,disco,classical
disco.00047.9.wav,disco,classical
disco.00050.3.wav,disco,rock
disco.00050.6.wav,disco,rock
disco.00053.3.wav,disco,hiphop
